┌─────────────┬──────────┬──────────┬────────────────────────┬───────────┐
│ encoding_id │ piece_id │  format  │       file_path        │ available │
├─────────────┼──────────┼──────────┼────────────────────────┼───────────┤
│ 1           │ 1        │ abc      │ data/abc/01-1.abc      │ 1         │
│ 4           │ 1        │ humdrum  │ data/humdrum/01-1.krn  │ 1         │
│ 2           │ 1        │ mei      │ data/mei/01-1.mei      │ 1         │
│ 3           │ 1        │ musicxml │ data/musicxml/01-1.xml │ 1         │
│ 5           │ 2        │ abc      │ data/abc/01-2.abc      │ 1         │
│ 8           │ 2        │ humdrum  │ data/humdrum/01-2.krn  │ 1         │
│ 6           │ 2        │ mei      │ data/mei/01-2.mei      │ 1         │
│ 7           │ 2        │ musicxml │ data/musicxml/01-2.xml │ 1         │
│ 9           │ 3        │ abc      │ data/abc/01-3.abc      │ 1         │
│ 12          │ 3        │ humdrum  │ data/humdrum/01-3.krn  │ 1         │
│ 10          │ 3        │ mei      │ data/mei/01-3.mei      │ 1         │
│ 11          │ 3        │ musicxml │ data/musicxml/01-3.xml │ 1         │
│ 13          │ 4        │ abc      │ data/abc/02-1.abc      │ 1         │
│ 16          │ 4        │ humdrum  │ data/humdrum/02-1.krn  │ 1         │
│ 14          │ 4        │ mei      │ data/mei/02-1.mei      │ 1         │
│ 15          │ 4        │ musicxml │ data/musicxml/02-1.xml │ 1         │
│ 17          │ 5        │ abc      │ data/abc/02-2.abc      │ 1         │
│ 20          │ 5        │ humdrum  │ data/humdrum/02-2.krn  │ 1         │
│ 18          │ 5        │ mei      │ data/mei/02-2.mei      │ 1         │
│ 19          │ 5        │ musicxml │ data/musicxml/02-2.xml │ 1         │
│ 21          │ 6        │ abc      │ data/abc/02-3.abc      │ 1         │
│ 24          │ 6        │ humdrum  │ data/humdrum/02-3.krn  │ 1         │
│ 22          │ 6        │ mei      │ data/mei/02-3.mei      │ 1         │
│ 23          │ 6        │ musicxml │ data/musicxml/02-3.xml │ 1         │
│ 25          │ 7        │ abc      │ data/abc/03-1.abc      │ 1         │
│ 28          │ 7        │ humdrum  │ data/humdrum/03-1.krn  │ 1         │
│ 26          │ 7        │ mei      │ data/mei/03-1.mei      │ 1         │
│ 27          │ 7        │ musicxml │ data/musicxml/03-1.xml │ 1         │
│ 29          │ 8        │ abc      │ data/abc/03-2.abc      │ 1         │
│ 32          │ 8        │ humdrum  │ data/humdrum/03-2.krn  │ 1         │
│ 30          │ 8        │ mei      │ data/mei/03-2.mei      │ 1         │
│ 31          │ 8        │ musicxml │ data/musicxml/03-2.xml │ 1         │
│ 33          │ 9        │ abc      │ data/abc/03-3.abc      │ 1         │
│ 36          │ 9        │ humdrum  │ data/humdrum/03-3.krn  │ 1         │
│ 34          │ 9        │ mei      │ data/mei/03-3.mei      │ 1         │
│ 35          │ 9        │ musicxml │ data/musicxml/03-3.xml │ 1         │
│ 37          │ 10       │ abc      │ data/abc/04-1.abc      │ 1         │
│ 40          │ 10       │ humdrum  │ data/humdrum/04-1.krn  │ 1         │
│ 38          │ 10       │ mei      │ data/mei/04-1.mei      │ 1         │
│ 39          │ 10       │ musicxml │ data/musicxml/04-1.xml │ 1         │
│ 41          │ 11       │ abc      │ data/abc/04-2.abc      │ 1         │
│ 44          │ 11       │ humdrum  │ data/humdrum/04-2.krn  │ 1         │
│ 42          │ 11       │ mei      │ data/mei/04-2.mei      │ 1         │
│ 43          │ 11       │ musicxml │ data/musicxml/04-2.xml │ 1         │
│ 45          │ 12       │ abc      │ data/abc/04-3.abc      │ 1         │
│ 48          │ 12       │ humdrum  │ data/humdrum/04-3.krn  │ 1         │
│ 46          │ 12       │ mei      │ data/mei/04-3.mei      │ 1         │
│ 47          │ 12       │ musicxml │ data/musicxml/04-3.xml │ 1         │
│ 49          │ 13       │ abc      │ data/abc/05-1.abc      │ 1         │
│ 52          │ 13       │ humdrum  │ data/humdrum/05-1.krn  │ 1         │
│ 50          │ 13       │ mei      │ data/mei/05-1.mei      │ 1         │
│ 51          │ 13       │ musicxml │ data/musicxml/05-1.xml │ 1         │
│ 53          │ 14       │ abc      │ data/abc/05-2.abc      │ 1         │
│ 56          │ 14       │ humdrum  │ data/humdrum/05-2.krn  │ 1         │
│ 54          │ 14       │ mei      │ data/mei/05-2.mei      │ 1         │
│ 55          │ 14       │ musicxml │ data/musicxml/05-2.xml │ 1         │
│ 57          │ 15       │ abc      │ data/abc/05-3.abc      │ 1         │
│ 60          │ 15       │ humdrum  │ data/humdrum/05-3.krn  │ 1         │
│ 58          │ 15       │ mei      │ data/mei/05-3.mei      │ 1         │
│ 59          │ 15       │ musicxml │ data/musicxml/05-3.xml │ 1         │
│ 61          │ 16       │ abc      │ data/abc/06-1.abc      │ 1         │
│ 64          │ 16       │ humdrum  │ data/humdrum/06-1.krn  │ 1         │
│ 62          │ 16       │ mei      │ data/mei/06-1.mei      │ 1         │
│ 63          │ 16       │ musicxml │ data/musicxml/06-1.xml │ 1         │
│ 65          │ 17       │ abc      │ data/abc/06-2.abc      │ 1         │
│ 68          │ 17       │ humdrum  │ data/humdrum/06-2.krn  │ 1         │
│ 66          │ 17       │ mei      │ data/mei/06-2.mei      │ 1         │
│ 67          │ 17       │ musicxml │ data/musicxml/06-2.xml │ 1         │
│ 69          │ 18       │ abc      │ data/abc/06-3.abc      │ 1         │
│ 72          │ 18       │ humdrum  │ data/humdrum/06-3.krn  │ 1         │
│ 70          │ 18       │ mei      │ data/mei/06-3.mei      │ 1         │
│ 71          │ 18       │ musicxml │ data/musicxml/06-3.xml │ 1         │
│ 73          │ 19       │ abc      │ data/abc/07-1.abc      │ 1         │
│ 76          │ 19       │ humdrum  │ data/humdrum/07-1.krn  │ 1         │
│ 74          │ 19       │ mei      │ data/mei/07-1.mei      │ 1         │
│ 75          │ 19       │ musicxml │ data/musicxml/07-1.xml │ 1         │
│ 77          │ 20       │ abc      │ data/abc/07-2.abc      │ 1         │
│ 80          │ 20       │ humdrum  │ data/humdrum/07-2.krn  │ 1         │
│ 78          │ 20       │ mei      │ data/mei/07-2.mei      │ 1         │
│ 79          │ 20       │ musicxml │ data/musicxml/07-2.xml │ 1         │
│ 81          │ 21       │ abc      │ data/abc/07-3.abc      │ 1         │
│ 84          │ 21       │ humdrum  │ data/humdrum/07-3.krn  │ 1         │
│ 82          │ 21       │ mei      │ data/mei/07-3.mei      │ 1         │
│ 83          │ 21       │ musicxml │ data/musicxml/07-3.xml │ 1         │
│ 85          │ 22       │ abc      │ data/abc/08-1.abc      │ 1         │
│ 88          │ 22       │ humdrum  │ data/humdrum/08-1.krn  │ 1         │
│ 86          │ 22       │ mei      │ data/mei/08-1.mei      │ 1         │
│ 87          │ 22       │ musicxml │ data/musicxml/08-1.xml │ 1         │
│ 89          │ 23       │ abc      │ data/abc/08-2.abc      │ 1         │
│ 92          │ 23       │ humdrum  │ data/humdrum/08-2.krn  │ 1         │
│ 90          │ 23       │ mei      │ data/mei/08-2.mei      │ 1         │
│ 91          │ 23       │ musicxml │ data/musicxml/08-2.xml │ 1         │
│ 93          │ 24       │ abc      │ data/abc/08-3.abc      │ 1         │
│ 96          │ 24       │ humdrum  │ data/humdrum/08-3.krn  │ 1         │
│ 94          │ 24       │ mei      │ data/mei/08-3.mei      │ 1         │
│ 95          │ 24       │ musicxml │ data/musicxml/08-3.xml │ 1         │
│ 97          │ 25       │ abc      │ data/abc/09-1.abc      │ 1         │
│ 100         │ 25       │ humdrum  │ data/humdrum/09-1.krn  │ 1         │
│ 98          │ 25       │ mei      │ data/mei/09-1.mei      │ 1         │
│ 99          │ 25       │ musicxml │ data/musicxml/09-1.xml │ 1         │
│ 101         │ 26       │ abc      │ data/abc/09-2.abc      │ 1         │
│ 104         │ 26       │ humdrum  │ data/humdrum/09-2.krn  │ 1         │
│ 102         │ 26       │ mei      │ data/mei/09-2.mei      │ 1         │
│ 103         │ 26       │ musicxml │ data/musicxml/09-2.xml │ 1         │
│ 105         │ 27       │ abc      │ data/abc/09-3.abc      │ 1         │
│ 108         │ 27       │ humdrum  │ data/humdrum/09-3.krn  │ 1         │
│ 106         │ 27       │ mei      │ data/mei/09-3.mei      │ 1         │
│ 107         │ 27       │ musicxml │ data/musicxml/09-3.xml │ 1         │
│ 109         │ 28       │ abc      │ data/abc/10-1.abc      │ 1         │
│ 112         │ 28       │ humdrum  │ data/humdrum/10-1.krn  │ 1         │
│ 110         │ 28       │ mei      │ data/mei/10-1.mei      │ 1         │
│ 111         │ 28       │ musicxml │ data/musicxml/10-1.xml │ 1         │
│ 113         │ 29       │ abc      │ data/abc/10-2.abc      │ 1         │
│ 116         │ 29       │ humdrum  │ data/humdrum/10-2.krn  │ 1         │
│ 114         │ 29       │ mei      │ data/mei/10-2.mei      │ 1         │
│ 115         │ 29       │ musicxml │ data/musicxml/10-2.xml │ 1         │
│ 117         │ 30       │ abc      │ data/abc/10-3.abc      │ 1         │
│ 120         │ 30       │ humdrum  │ data/humdrum/10-3.krn  │ 1         │
│ 118         │ 30       │ mei      │ data/mei/10-3.mei      │ 1         │
│ 119         │ 30       │ musicxml │ data/musicxml/10-3.xml │ 1         │
│ 121         │ 31       │ abc      │ data/abc/11-1.abc      │ 1         │
│ 124         │ 31       │ humdrum  │ data/humdrum/11-1.krn  │ 1         │
│ 122         │ 31       │ mei      │ data/mei/11-1.mei      │ 1         │
│ 123         │ 31       │ musicxml │ data/musicxml/11-1.xml │ 1         │
│ 125         │ 32       │ abc      │ data/abc/11-2.abc      │ 1         │
│ 128         │ 32       │ humdrum  │ data/humdrum/11-2.krn  │ 1         │
│ 126         │ 32       │ mei      │ data/mei/11-2.mei      │ 1         │
│ 127         │ 32       │ musicxml │ data/musicxml/11-2.xml │ 1         │
│ 129         │ 33       │ abc      │ data/abc/11-3.abc      │ 1         │
│ 132         │ 33       │ humdrum  │ data/humdrum/11-3.krn  │ 1         │
│ 130         │ 33       │ mei      │ data/mei/11-3.mei      │ 1         │
│ 131         │ 33       │ musicxml │ data/musicxml/11-3.xml │ 1         │
│ 133         │ 34       │ abc      │ data/abc/12-1.abc      │ 1         │
│ 136         │ 34       │ humdrum  │ data/humdrum/12-1.krn  │ 1         │
│ 134         │ 34       │ mei      │ data/mei/12-1.mei      │ 1         │
│ 135         │ 34       │ musicxml │ data/musicxml/12-1.xml │ 1         │
│ 137         │ 35       │ abc      │ data/abc/12-2.abc      │ 1         │
│ 140         │ 35       │ humdrum  │ data/humdrum/12-2.krn  │ 1         │
│ 138         │ 35       │ mei      │ data/mei/12-2.mei      │ 1         │
│ 139         │ 35       │ musicxml │ data/musicxml/12-2.xml │ 1         │
│ 141         │ 36       │ abc      │ data/abc/12-3.abc      │ 1         │
│ 144         │ 36       │ humdrum  │ data/humdrum/12-3.krn  │ 1         │
│ 142         │ 36       │ mei      │ data/mei/12-3.mei      │ 1         │
│ 143         │ 36       │ musicxml │ data/musicxml/12-3.xml │ 1         │
│ 145         │ 37       │ abc      │ data/abc/13-1.abc      │ 1         │
│ 148         │ 37       │ humdrum  │ data/humdrum/13-1.krn  │ 1         │
│ 146         │ 37       │ mei      │ data/mei/13-1.mei      │ 1         │
│ 147         │ 37       │ musicxml │ data/musicxml/13-1.xml │ 1         │
│ 149         │ 38       │ abc      │ data/abc/13-2.abc      │ 1         │
│ 152         │ 38       │ humdrum  │ data/humdrum/13-2.krn  │ 1         │
│ 150         │ 38       │ mei      │ data/mei/13-2.mei      │ 1         │
│ 151         │ 38       │ musicxml │ data/musicxml/13-2.xml │ 1         │
│ 153         │ 39       │ abc      │ data/abc/13-3.abc      │ 1         │
│ 156         │ 39       │ humdrum  │ data/humdrum/13-3.krn  │ 1         │
│ 154         │ 39       │ mei      │ data/mei/13-3.mei      │ 1         │
│ 155         │ 39       │ musicxml │ data/musicxml/13-3.xml │ 1         │
│ 157         │ 40       │ abc      │ data/abc/14-1.abc      │ 1         │
│ 160         │ 40       │ humdrum  │ data/humdrum/14-1.krn  │ 1         │
│ 158         │ 40       │ mei      │ data/mei/14-1.mei      │ 1         │
